city,latitude,longitude
Manchester,53.4794892,-2.2451148
Manchester,53.4794892,-2.2451148
Manchester,53.4794892,-2.2451148
Liverpool,53.4071991,-2.99168
Liverpool,53.4071991,-2.99168
York,53.9590555,-1.0815361
York,53.9590555,-1.0815361
Carlisle,54.8948478,-2.9362311
Carlisle,54.8948478,-2.9362311
Newcastle,54.9738474,-1.6131572
Newcastle,54.9738474,-1.6131572
Glasgow,55.8606182,-4.2497933
Glasgow,55.8606182,-4.2497933
Glasgow,55.8606182,-4.2497933
Edinburgh,55.9533456,-3.1883749
Edinburgh,55.9533456,-3.1883749
Edinburgh,55.9533456,-3.1883749
Edinburgh,55.9533456,-3.1883749
Oban,56.415695,-5.4734688
Oban,56.415695,-5.4734688
Oban,56.415695,-5.4734688
Aberdeen,57.1482429,-2.0928095
Aberdeen,57.1482429,-2.0928095
Aberdeen,57.1482429,-2.0928095
Holyhead,53.3106715,-4.6330966
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
Inverness,57.4790124,-4.225739
